bI_0,alpha,new deaths,bI,bA,bP,R0
0.186,-0.257,0.09219789564578361,0.3432255779421361,0.17161278897106805,1.7161278897106804,0.7012098557357841

0.186,-0.257,0.1041029249776222,0.3326786808105374,0.1663393404052687,1.663393404052687,0.679662544895928

0.186,-0.257,0.11701331332694191,0.32283192670304545,0.16141596335152272,1.6141596335152273,0.659545626254322

0.186,-0.257,0.13096536455072574,0.3136199888084865,0.15680999440424326,1.5680999440424326,0.6407256371357379

0.186,-0.257,0.1459936733126469,0.3049854332335743,0.15249271661678715,1.5249271661678714,0.6230852400961923

0.186,-0.257,0.16213103440846025,0.2968775400494066,0.1484387700247033,1.484387700247033,0.6065208143209377

0.186,-0.257,0.17940837371079557,0.2892513322249588,0.1446256661124794,1.446256661124794,0.5909404717355908

0.186,-0.257,0.19785468427055747,0.2820667766825413,0.14103338834127066,1.4103338834127066,0.576262424762432

0.186,-0.257,0.21749698474675588,0.2752881146065597,0.13764405730327986,1.3764405730327987,0.5624136181412016

0.186,-0.257,0.23836028800938946,0.26888330120577936,0.13444165060288968,1.3444165060288968,0.5493285843634073

0.186,-0.257,0.2604675826616613,0.2628235327577262,0.1314117663788631,1.314117663788631,0.5369484774240346

0.186,-0.257,0.2838398265563471,0.25708284519136354,0.12854142259568177,1.2854142259568178,0.5252202527259557

0.186,-0.257,0.30849595030522386,0.25163777189968817,0.12581888594984408,1.258188859498441,0.514095967991063

0.186,-0.257,0.33445287081744296,0.24646705040188321,0.12323352520094161,1.232335252009416,0.5035321839710474

0.186,-0.257,0.36172551342354664,0.24155136988075687,0.12077568494037844,1.2077568494037845,0.49348944866638633

0.186,-0.257,0.39032684226769293,0.23687315289066613,0.11843657644533306,1.1843657644533305,0.4839318513556309

0.186,-0.257,0.4202678972593261,0.2324163660181429,0.11620818300907144,1.1620818300907145,0.474826635775066

0.186,-0.257,0.45155783788976095,0.22816635488041165,0.11408317744020582,1.1408317744020582,0.466143863020681

0.186,-0.257,0.4842039914844201,0.22410970006606282,0.11205485003303141,1.1205485003303142,0.45785611723496644

0.186,-0.257,0.5182119069217117,0.22023409071588898,0.11011704535794449,1.1011704535794449,0.44993824733256127

0.186,-0.257,0.5535854128395474,0.21652821330574712,0.10826410665287356,1.0826410665287356,0.44236713978364145

0.186,-0.257,0.5903266764903433,0.2129816538294725,0.10649082691473626,1.0649082691473626,0.4351215187736124

0.186,-0.257,0.6284362689247172,0.20958481091444228,0.10479240545722114,1.0479240545722115,0.42818176869820557

0.186,-0.257,0.667913229986036,0.20632881902371925,0.10316440951185962,1.0316440951185961,0.4215297772654584

0.186,-0.257,0.7087551377124983,0.20320547996766014,0.10160273998383007,1.0160273998383007,0.4151487955739297

0.186,-0.257,0.7509581674926434,0.20020720271381853,0.10010360135690927,1.0010360135690926,0.4090233151443313

0.186,-0.257,0.7945171728185334,0.1973269481051888,0.0986634740525944,0.986634740525944,0.4031389549789008

0.186,-0.257,0.8394257554001002,0.1945581802917655,0.09727909014588275,0.9727909014588275,0.397482362336077

0.186,-0.257,0.8856763208086305,0.19189482397639,0.095947411988195,0.95947411988195,0.3920411253837648

0.186,-0.257,0.9332601572969129,0.18933122454407794,0.09466561227203897,0.9466561227203897,0.3868036917435513

0.186,-0.257,0.9821675014803962,0.18686211294867516,0.09343105647433758,0.9343105647433758,0.3817592967541434

0.186,-0.257,1.0323876054877448,0.1844825739005029,0.09224128695025145,0.9224128695025146,0.3768978984787275

0.186,-0.257,1.0839088034561526,0.18218801710775498,0.09109400855387749,0.9109400855387749,0.3722101189511435

0.186,-0.257,1.1367185751304367,0.1799741513230777,0.08998707566153885,0.8998707566153885,0.36768719115304777

0.186,-0.257,1.1908036092758965,0.177836960759728,0.088918480379864,0.88918480379864,0.36332091083212437

0.186,-0.257,1.246149864809127,0.175772683710767,0.0878863418553835,0.8788634185538351,0.35910359282109705

0.186,-0.257,1.3027426309598507,0.17377779308242014,0.08688889654121007,0.8688889654121007,0.35502803126738436

0.186,-0.257,1.3605665841798333,0.17184897872129357,0.08592448936064678,0.8592448936064678,0.35108746352760273

0.186,-0.257,1.4196058443889399,0.16998313125671505,0.08499156562835752,0.8499156562835752,0.3472755371574689

0.186,-0.257,1.4798440325465387,0.16817732725669898,0.08408866362834949,0.8408866362834949,0.3435862795854361

0.186,-0.257,1.5412643085425333,0.16642881617189392,0.08321440808594696,0.8321440808594696,0.3400140714391793

0.186,-0.257,1.6038494379769248,0.1647350074851207,0.08236750374256036,0.8236750374256036,0.3365536202921016

0.186,-0.257,1.667581825888242,0.16309345981391268,0.08154672990695634,0.8154672990695634,0.3331999383998236

0.186,-0.257,1.7324435695752298,0.16150187032972016,0.08075093516486008,0.8075093516486008,0.32994832108361827

0.186,-0.257,1.79841650292649,0.15995806522409406,0.07997903261204703,0.7997903261204703,0.3267943272528242

0.186,-0.257,1.8654822352068634,0.15845999102057554,0.07922999551028777,0.7922999551028777,0.32373376165503587

0.186,-0.257,1.9336221803488456,0.1570057067204142,0.0785028533602071,0.785028533602071,0.32076265882980626

0.186,-0.257,2.002817614713665,0.1555933759181761,0.07779668795908805,0.7779668795908805,0.3178772670008338

0.186,-0.257,2.07304968219984,0.15422126057446006,0.07711063028723003,0.7711063028723003,0.3150740353536219

